Date,A.M. read/listen/sing/pray,P.M. read/listen/sing/pray,Sit to stand 5+,Step-up R10 L5,Tandem balance 30 sec,Heel raise 10,Single leg toe tap 10,Get up from floor x2,Time outside,Biceps curl 3 lb 15,Pull Downs 10,Row 10,Wall push-up 10,Stretches standing,Weekly Proflex routine,Stretches lying down,Treadmill 2 mph 15 min,Sleep goal 6.5,Sleep score,Steps thousands,Humidifier,Bedtime review the day and pray,
2025-12-03,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_AUTO,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-12-02,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,NO,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_AUTO,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-12-01,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_AUTO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-30,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_AUTO,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-29,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_AUTO,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-28,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-27,YES_MANUAL,NO,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_AUTO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-26,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_AUTO,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-25,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,NO,YES_AUTO,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-24,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_AUTO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,
2025-11-23,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_AUTO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-22,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_AUTO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,
2025-11-21,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,
2025-11-20,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-11-19,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,
